Kode,Tipe,iconName,Nama,Alamat,Latitude,Longitude,Deskripsi
WIS_6_JS,wisata,museum,TAMAN MINI INDONESIA INDAH,Jakarta Selatan,-6.30221,106.89516,Taman ini merupakan rangkuman kebudayaan bangsa Indonesia  yang mencakup berbagai aspek kehidupan sehari-hari masyarakat 26 provinsi Indonesia (pada tahun 1975) yang ditampilkan dalam anjungan daerah berarsitektur tradisional  seta menampilkan aneka busan
WIS_7_JT,wisata,museum,SITU PEDONGKELAN,Jakarta Timur,-6.3497,106.85656,Wisata danau dan pemancingan di perbatasan Jakarta dengan Depok.
WIS_8_JU,wisata,museum,Taman Impian Jaya Ancol,Jakarta Utara,-6.12353,106.83187,Taman Impian Jaya Ancol merupakan sebuah objek wisata di Jakarta Utara. Sebagai komunitas pembaharuan kehidupan masyarakat yang menjadi kebanggaan bangsa.
WIS_9_JB,wisata,museum,Museum Wayang,Jakarta Barat,-6.13488,106.81271,Museum Wayang memamerkan berbagai jenis dan bentuk wayang dari seluruh Indonesia  baik yang terbuat dari kayu dan kulit maupun bahan-bahan lain. Wayang-wayang dari luar negeri ada juga di sini  misalnya dari Republik Rakyat Cina dan Kamboja. Hingga kini M
WIS_10_JB,wisata,museum,Museum Sejarah Jakarta,Jakarta Barat,-6.13507,106.81328,Museum Fatahillah yang juga dikenal sebagai Museum Sejarah Jakarta atau Museum Batavia adalah sebuah museum yang terletak di Jalan Taman Fatahillah No. 2  Jakarta Barat dengan luas lebih dari 1.300 meter persegi.
WIS_11_JU,wisata,museum,Museum Bahari,Jakarta Utara,-6.12671,106.80837,Museum Bahari adalah museum yang menyimpan koleksi yang berhubungan dengan kebaharian dan kenelayanan bangsa Indonesia dari Sabanghingga Merauke yang berlokasi di seberang
WIS_12_JB,wisata,museum,Museum Seni Rupa dan Keramik,Jakarta Barat,-6.13389,106.81352,Museum Seni Rupa dan Keramik terletak di Jalan Pos Kota No 2  Kotamadya Jakarta Barat  Provinsi DKI Jakarta  Indonesia. Museum yang tepatnya berada di seberang Museum Sejarah Jakarta itu memajang keramik lokal dari berbagai daerah di Tanah Air  dari era K
WIS_13_JS,wisata,museum,Situ Babakan,Jakarta Selatan,-6.34172,106.82384,Masyarakat di wilayah ini mengembangkan usaha pertanian dan perikanan sekaligus membnatu dalam usaha penghijauan wilayah Situ Babakan. Selain itu di daerah ini dapat disaksikan pula keseharian masyarakat setempat seperti budidaya ikan dalam keramba yang t
WIS_14_JU,wisata,museum,DUNIA FANTASI,Jakarta Utara,-6.123455,106.831859,Dunia Fantasi atau disebut juga Dufan (juga disebut Do Fun) yang diresmikan pada 29 Agustus 1985 adalah tempat hiburan yang terletak di kompleks Taman Impian Jaya Ancol (Ancol taman impian)  Jakarta Utara  Indonesia.
HOT_1_JS,hotel,rec_lodging,Arion Swiss-Bel Kemang Jakarta,Jakarta Selatan,-6.25615,106.81489,It features a total of 94 elegantly appointed rooms. Each room is equipped with individual controlled air-conditioning  IDD telephone  broadband internet access  mini bar  safe deposit box that can fit a laptop  tea and coffee making facilities
HOT_2_JP,hotel,rec_lodging,Aryaduta,Jakarta Pusat,-6.180974,106.837701,Hotel Aryaduta is Indonesia's premier and leading hospitality group with a tradition of luxury  comfort  and style since 1974. Located in Indonesia's premier cities and preferred resort destinations  each hotel and resort provides an outstanding experienc
HOT_3_JS,hotel,rec_lodging,Aston At Kuningan Suites,Jakarta Selatan,-6.207189,106.827415,This elegant and sophisticated boutique style property includes service apartments at an affordable rate. Filled with four star comforts  Aston at Kuningan Suites offers cable TV  kitchenette  spacious balconies with beautiful views  air conditioned apart
HOT_4_JU,hotel,rec_lodging,Aston Marina,Jakarta Utara,-6.12912,106.82948,Aston Marina yang berada dekat kawasan Ancol dan pusat-pusat perbelanjaan ini tepat untuk Anda yang akan berlibur di Jakarta bersama keluarga.
HOT_5_JU,hotel,rec_lodging,Aston Pluit  & Residence,Jakarta Utara,-6.124415,106.795086,The superb Aston Pluit is ideally located in the heart of Pluit and just 20 minutes from the international airport allowing easy access to all the main attractions in Jakarta for shopping and entertainment. The hotel offers rooms and suites with excellent
HOT_6_JP,hotel,rec_lodging,Borobudur  Jakarta,Jakarta Pusat,-6.205053,106.760705,Spanning across 23 acres of tropical gardens  695 rooms with extensive recreational facilities  Hotel Borobudur Jakarta is truly a five-star. Located in central Jakarta  close to business districts  shopping malls and government offices  the hotel is abou
HOT_7_JT,hotel,rec_lodging,Desa Wisata TMII,Jakarta Timur,-6.305128,106.900781,Desa Wisata memiliki 55 kamar dengan beragam pilihan mulai dari Superior Twin & Double  Cottages  hingga Pondokan yang cocok bagi pelajar & mahasiswa atau rombongan dengan daya tampung keseluruhan mencapai + 450 tamu dengan harga yang terjangkau. Bagi pen
HOT_8_JU,hotel,rec_lodging,D'Prima,Jakarta Utara,-6.133986,106.831926,Semua kamar di d?primahotel termasuk tempat menginap yang nyaman untuk menikmati TV plasma 32?  internet Wi-Fi gratis di seluruh bagian hotel  Safety Deposit Box untuk mengamankan barang-barang berharga Anda  air mineral botol gratis  kopi  teh
HOT_9_JP,hotel,rec_lodging,Ibis Budget Jakarta,Jakarta Pusat,-6.192174,106.83901,Golden Triangle area  Gambir Train Station and Indonesia University. Featuring 150 rooms with a choice of either one queen bed or a queen and a single  ibis budget Jakarta Cikini is located on one of the most vibrant streets in central Jakarta  and offer
HOT_10_JB,hotel,rec_lodging,Fortuna,Jakarta Barat,-6.14148,106.813652,Fortuna Hotel merupakan Hotel Murah di wilayah jakarta Barat  dengan lokasi strategis hotel ini menawarkan harga ekomomis untuk anda
HOT_11_JS,hotel,rec_lodging,Gran Melia  Jakarta,Jakarta Selatan,-6.234171,106.83121,Stunning architecture  a passionate commitment to outstanding service and completely rejuvenated facilities combine to make this iconic luxury international five star hotel the true benchmark for 21st century luxury in down town Jakarta Indonesia.
HOT_12_JP,hotel,rec_lodging,Grand Hyatt Jakarta,Jakarta Pusat,-6.193846,106.822219,Grand Hyatt Jakarta is a 5 star luxury hotel located in the heart of Jakarta business district. Our Jakarta hotel is adjacent to Indonesia's most comprehensive and sophisticated shopping mall  Plaza Indonesia  and enjoys convenient access to government of
HOT_13_JS,hotel,rec_lodging,Grand Kemang  Jakarta,Jakarta Selatan,-6.265955,106.820781,grandkemang hotel Jakarta welcomes you in an atmosphere that embraces individuality in every sense.
HOT_14_JS,hotel,rec_lodging,Grand Mahakam Jakarta,Jakarta Selatan,-6.318391,106.884833,Hotel Gran Mahakam is a five-star boutique hotel in Jakarta Selatan with distinctly European architecture  beautifully appointed rooms  attentive and friendly service.
HOT_15_JS,hotel,rec_lodging,Harris Tebet  Jakarta,Jakarta Selatan,-6.22273,106.84744,Hotel Bintang 4
HOT_16_JU,hotel,rec_lodging,Horison Jakarta,Jakarta Utara,-6.1207,106.838533,Indonesia's fastest growing chain of mid to up scales Business and Leisure
HOT_17_JP,hotel,rec_lodging,Indonesia Kempinski,Jakarta Pusat,-6.195478,106.822232,Hotel Bintang 5
HOT_18_JB,hotel,rec_lodging,Jatra,Jakarta Barat,-6.136432,106.804018,Hotel Bintang 3
HOT_19_JS,hotel,rec_lodging,JW Marriott  Jakarta,Jakarta Selatan,-6.22732,106.82689,Hotell Bintang 5
HOT_20_JP,hotel,rec_lodging,Nikko Jakarta,Jakarta Pusat,-6.193515,106.823659,Hotell Bintang 2
HOT_21_JB,hotel,rec_lodging,Pancoran Jaya,Jakarta Barat,-6.141259,106.814068,Hotell Bintang 3
HOT_22_JU,hotel,rec_lodging,Putri Duyung Ancol,Jakarta Utara,-6.12156,106.840426,Hotel Indah di tepi pantai
HOT_23_JU,hotel,rec_lodging,Raddin Ancol,Jakarta Utara,-6.12167,106.842057,292 nicely decorated and comfortable rooms makes  Raddin Ancol one of Jakarta's favourite weekend retreats and the ideal family resort  in Jakarta.
HOT_24_JB,hotel,rec_lodging,Santika Premiere Jakarta,Jakarta Barat,-6.19794,106.80257,Hotel Bintang 3
HOT_25_JB,hotel,rec_lodging,The Batavia,Jakarta Barat,-6.13192,106.81032,Hotel Bintang 3
HOT_26_JS,hotel,rec_lodging,The Ritz-Carlton Jakarta Pacific Place,Jakarta Selatan,-6.223833,106.810042,Hotel Bintang 3
HOT_27_JT,hotel,rec_lodging,Makassar Mulia,Jakarta Timur,-6.33851,106.84194,Hotel Bintang 3
HOT_28_JP,hotel,rec_lodging,Bintang Kejora,Jakarta Pusat,-6.182502,106.827323,Hotel Bintang 3
HOT_29_JP,hotel,rec_lodging,Banyuwangi Sintara,Jakarta Pusat,-6.161793,106.831285,Hotel Bintang 3
HOT_30_JP,hotel,rec_lodging,Mataram,Jakarta Pusat,-6.160806,106.820368,Hotel Bintang 3
HOT_31_JU,hotel,rec_lodging,Mitra Bahari,Jakarta Utara,-6.127522,106.808001,Hotel Bintang 3
HOT_32_JU,hotel,rec_lodging,Favehotel Pluit Junction,Jakarta Utara,-6.126404,106.791272,Hotel Bintang 3
HOT_33_JP,hotel,rec_lodging,Le Meridien,Jakarta Pusat,-6.213346,106.818724,Hotel Bintang 3
HOT_34_JP,hotel,rec_lodging,Intercontinental,Jakarta Pusat,-6.208928,106.819357,InterContinental luxury hotels and resorts in the best destinations for leisure or business. Make your next trip memorable.
HOT_35_JS,hotel,rec_lodging,R Residence,Jakarta Selatan,-6.3018,106.7932,R Residence terletak di Daerah Cilandak Barat di Jakarta Selatan  dapat dicapai dalam waktu 45 menit berkendara dari Bandara Internasional Soekarno Hatta.
HOT_36_JS,hotel,rec_lodging,Bukit Indah,Jakarta Selatan,-6.29447,106.78599,Hotel Bintang 3
HOT_37_JS,hotel,rec_lodging,Pondok Club Vila,Jakarta Selatan,-6.29378,106.78499,Penginapan dengan suasana yang nyaman.
HOT_38_JS,hotel,rec_lodging,Hill Side Grand Puri,Jakarta Selatan,-6.3113,106.80377,Hotel Bintang 3
RES_1_JU,restoran,dining,Pizza Hut,Jakarta Utara,-6.12468,106.84706,Pizza Center a la Italia
RES_2_JU,restoran,dining,Sunda Kelapa Restaurant,Jakarta Utara,-6.12265,106.81257,Menyajikan aneka masakan khas Jakarta
RES_3_JU,restoran,dining,Warnas Khas Sunda E'heti,Jakarta Utara,-6.1268,106.85863,Masakan Sunda
RES_4_JU,restoran,dining,Bandar Djakarta,Jakarta Utara,-6.12275,106.843776,Restoran Bandar Djakarta dengan konsep garden view yang menyediakan lebih banyak lesehan sehingga para pengunjung dapat bersantai dan nyaman.
RES_5_JU,restoran,dining,Segarra Seaside Escape,Jakarta Utara,-6.11598,106.85884,Sebuah restoran yang terletak di pantai Carnaval Ancol Jakarta Baycity  Segarra lebih indah dengan pemandangan laut
RES_6_JU,restoran,dining,Le Bridge,Jakarta Utara,-6.12393,106.84307,Le Bridge yang terletak di Taman Impian Jaya Ancol terlihat sebagai resto yang mewah  sampai suatu saat kita mencobanya karena rasa penasaran
RES_7_JU,restoran,dining,Rumah Makan Iyo Bana Kapau,Jakarta Utara,-6.133928,106.8328,Masakan Padang
RES_8_JU,restoran,dining,Crapoe,Jakarta Utara,-6.13353,106.832361,Masakan Perancis
RES_9_JU,restoran,dining,Rasane Seafood & Ikan Bakar,Jakarta Utara,-6.1219,106.84545,Seafood Center
RES_10_JB,restoran,dining,Rumah Makan Senang Hati,Jakarta Barat,-6.139189,106.812552,Rumah Makan
RES_11_JB,restoran,dining,Rumah Makan Panggang Ayam Malang,Jakarta Barat,-6.1398,106.81521,Rumah Makan
RES_12_JB,restoran,dining,Warung Pempek Palembang,Jakarta Barat,-6.140725,106.811635,Rumah Makan
RES_13_JB,restoran,dining,Kedai Nasi Aneka Sari,Jakarta Barat,-6.139205,106.810106.,Rumah Makan
RES_14_JB,restoran,dining,Warteg Bahari,Jakarta Barat,-6.134461,106.810833,Rumah Makan
RES_15_JB,restoran,dining,Bakmi Hokkian,Jakarta Barat,-6.160097,106.819531,Rumah Makan
RES_16_JU,restoran,dining,I-Tasuki,Jakarta Utara,-6.122879,106.791409,Rumah Makan
RES_17_JU,restoran,dining,Sate Pluit,Jakarta Utara,-6.122415,106.790041,Rumah Makan
RES_18_JU,restoran,dining,Sovia Minang,Jakarta Utara,-6.128111,106.792621,Rumah Makan
RES_19_JB,restoran,dining,Ampera,Jakarta Barat,-6.162894,106.76633,Rumah Makan
RES_20_JB,restoran,dining,Warteg Sariwat,Jakarta Barat,-6.161758,106.766998,Rumah Makan
RES_21_JP,restoran,dining,Tiga Puluh,Jakarta Pusat,-6.213085,106.818764,Rumah Makan
RES_22_JP,restoran,dining,Bakmi 88,Jakarta Pusat,-6.211394,106.817442,Rumah Makan
RES_23_JP,restoran,dining,Java Bean,Jakarta Pusat,-6.210573,106.818394,Rumah Makan
RES_24_JS,restoran,dining,Soul'Id,Jakarta Selatan,-6.296597,106.790092,Rumah Makan
RES_25_JS,restoran,dining,Gule Kepala Ikan Mas,Jakarta Selatan,-6.296653,106.793077,Rumah Makan
RES_26_JS,restoran,dining,Bakmi Jogja,Jakarta Selatan,-6.296415,106.793281,Rumah Makan
RES_27_JS,restoran,dining,Warung Mie Ayam,Jakarta Selatan,-6.130847,106.84166,Rumah Makan
RES_28_JS,restoran,dining,Bebek Kuali,Jakarta Selatan,-6.229248,106.893102,Rumah Makan
